Source,Target,Weight,Type
mickiewicz_Sonety krymskie XII.,mickiewicz_Sonety krymskie XVII.,3,undirected
mickiewicz_Sonety krymskie XII.,mickiewicz_Sonety V.,2,undirected
mickiewicz_Sonety krymskie XIII.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety krymskie XIII.,mickiewicz_Sonety krymskie VII.,6,undirected
mickiewicz_Sonety krymskie XIII.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety krymskie XIV.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety krymskie XIV.,mickiewicz_Sonety II.,6,undirected
mickiewicz_Sonety krymskie XIV.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety krymskie XV.,mickiewicz_Sonety IV.,6,undirected
mickiewicz_Sonety krymskie XV.,mickiewicz_Sonety krymskie II.,3,undirected
mickiewicz_Sonety krymskie XV.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety krymskie XV.,mickiewicz_Sonety V.,5,undirected
mickiewicz_Sonety krymskie XVI.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety krymskie XVI.,mickiewicz_Sonety krymskie IV.,6,undirected
mickiewicz_Sonety krymskie XVI.,mickiewicz_Sonety krymskie XI.,4,undirected
mickiewicz_Sonety krymskie XVII.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety krymskie XVII.,mickiewicz_Sonety krymskie XII.,3,undirected
mickiewicz_Sonety krymskie XVII.,mickiewicz_Sonety VII.,1,undirected
mickiewicz_Sonety krymskie XVIII.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety krymskie XVIII.,mickiewicz_Sonety III.,5,undirected
mickiewicz_Sonety krymskie XVIII.,mickiewicz_Sonety XVIII.,4,undirected
mickiewicz_Sonety V.,mickiewicz_Sonety IV.,4,undirected
mickiewicz_Sonety V.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety V.,mickiewicz_Sonety krymskie VIII.,2,undirected
mickiewicz_Sonety V.,mickiewicz_Sonety krymskie XII.,2,undirected
mickiewicz_Sonety V.,mickiewicz_Sonety krymskie XV.,5,undirected
mickiewicz_Sonety VI.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety VI.,mickiewicz_Sonety krymskie X.,4,undirected
mickiewicz_Sonety VI.,mickiewicz_Sonety XIV.,3,undirected
mickiewicz_Sonety VI.,mickiewicz_Sonety XIX.,2,undirected
mickiewicz_Sonety VII.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety VII.,mickiewicz_Sonety krymskie XVII.,1,undirected
mickiewicz_Sonety VII.,mickiewicz_Sonety XV.,6,undirected
mickiewicz_Sonety VII.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety VIII.,krasiński_Nowe życie.,3,undirected
mickiewicz_Sonety VIII.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety VIII.,mickiewicz_Sonety XVII.,2,undirected
mickiewicz_Sonety X.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety X.,mickiewicz_Sonety krymskie V.,6,undirected
mickiewicz_Sonety X.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety XI.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety XI.,mickiewicz_Sonety krymskie VI.,3,undirected
mickiewicz_Sonety XI.,mickiewicz_Sonety XII.,2,undirected
mickiewicz_Sonety XII.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety XII.,mickiewicz_Sonety krymskie IX.,5,undirected
mickiewicz_Sonety XII.,mickiewicz_Sonety XI.,2,undirected
mickiewicz_Sonety XII.,mickiewicz_Sonety XXII.,4,undirected
mickiewicz_Sonety XIII.,krasiński_Co mi się marzy?,2,undirected
mickiewicz_Sonety XIII.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety XIII.,mickiewicz_Sonety XVI.,6,undirected
mickiewicz_Sonety XIII.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety XIV.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety XIV.,mickiewicz_Sonety krymskie X.,3,undirected
mickiewicz_Sonety XIV.,mickiewicz_Sonety VI.,3,undirected
mickiewicz_Sonety XIV.,mickiewicz_Sonety XIV.,6,undirected
mickiewicz_Sonety XIV.,mickiewicz_Sonety XIX.,1,undirected
mickiewicz_Sonety XIX.,mickiewicz_Sonety krymskie X.,6,undirected
mickiewicz_Sonety XIX.,mickiewicz_Sonety VI.,2,undirected
mickiewicz_Sonety XIX.,mickiewicz_Sonety XIV.,1,undirected
mickiewicz_Sonety XV.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety XV.,mickiewicz_Sonety VII.,6,undirected
mickiewicz_Sonety XV.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety XVI.,krasiński_Co mi się marzy?,1,undirected
mickiewicz_Sonety XVI.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety XVI.,mickiewicz_Sonety XIII.,6,undirected
mickiewicz_Sonety XVI.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety XVII.,krasiński_Błękit duszy.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Boleść rozłączenia.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Czas i wieczność.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Do Duchów.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Do Pani D. P.[*],2,undirected
mickiewicz_Sonety XVII.,krasiński_Gdzie cisza?,1,undirected
mickiewicz_Sonety XVII.,krasiński_Miłość ideału.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Nie wrócę już!,2,undirected
mickiewicz_Sonety XVII.,krasiński_Niewymarzona, a cudowna.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Nowe życie.,6,undirected
mickiewicz_Sonety XVII.,krasiński_Postanowienie.,2,undirected
mickiewicz_Sonety XVII.,krasiński_Pożegnanie Italii.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety I.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety IX.,2,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie I.,2,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie III.,2,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie VI.,3,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie VII.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie XIII.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety krymskie XIV.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety VII.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety VIII.,2,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety X.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety XIII.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety XV.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety XVI.,1,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety XX.,2,undirected
mickiewicz_Sonety XVII.,mickiewicz_Sonety XXI.,1,undirected
mickiewicz_Sonety XVIII.,krasiński_Nowe życie.,1,undirected
mickiewicz_Sonety XVIII.,mickiewicz_Sonety III.,3,undirected
mickiewicz_Sonety XVIII.,mickiewicz_Sonety krymskie XVIII.,4,undirected
mickiewicz_Sonety XVIII.,mickiewicz_Sonety XVIII.,6,undirected
mickiewicz_Sonety XX.,krasiński_Nowe życie.,3,undirected
mickiewicz_Sonety XX.,mickiewicz_Sonety krymskie III.,1,undirected
mickiewicz_Sonety XX.,mickiewicz_Sonety XVII.,2,undirected
mickiewicz_Sonety XXI.,krasiński_Gdzie cisza?,6,undirected
mickiewicz_Sonety XXI.,krasiński_Nowe życie.,2,undirected
mickiewicz_Sonety XXI.,mickiewicz_Sonety XVII.,1,undirected
mickiewicz_Sonety XXII.,mickiewicz_Sonety II.,1,undirected
mickiewicz_Sonety XXII.,mickiewicz_Sonety krymskie IX.,3,undirected
mickiewicz_Sonety XXII.,mickiewicz_Sonety XII.,4,undirected
mickiewicz_Sonety XXII.,mickiewicz_Sonety XXII.,6,undirected
