gutenberg_id,text,title,author,id
27081,BOGOSŁAWIEŃSTWO,remove,Mickiewicz,159
27081,s PETRARKI.,remove,Mickiewicz,160
27081,"Błogosławiony rok ów, miesiąc i niedziela,",Sonety X.,Mickiewicz,161
27081,"I dzień ów, i dnia cząstka, i owa godziną,",Sonety X.,Mickiewicz,162
27081,"I chwila, i to miejsce, gdzie moja dziewczyna",Sonety X.,Mickiewicz,163
27081,"Uczucia mi natchnęła, choć ich nie podziela.",Sonety X.,Mickiewicz,164
27081,"Błogosławione oczki blasku i wesela,",Sonety X.,Mickiewicz,165
27081,"Skąd amorek wygląda i łuczek napina,",Sonety X.,Mickiewicz,166
27081,"Błogosławiony łuczek, strzałki i chłopczyna,",Sonety X.,Mickiewicz,167
27081,"Co do mnie wówczas strzelił, ach! i dotąd strzela.",Sonety X.,Mickiewicz,168
27081,"Błogosławię ci piérwsza piosnko nieuczona,",Sonety X.,Mickiewicz,169
27081,"Którą odbiły lasy domowe i rzeki,",Sonety X.,Mickiewicz,170
27081,Którą potém ojczysta powtarzała strona.,Sonety X.,Mickiewicz,171
27081,"Błogosławię ci, pióro, którém w czas daleki",Sonety X.,Mickiewicz,172
27081,"Wsławiłem Ją, i moją pierś błogosławiona,",Sonety X.,Mickiewicz,173
27081,W któréj Laura mieszkała i mieszka na wieki.,Sonety X.,Mickiewicz,174
27081,XI.,remove,Mickiewicz,175
27081,REZYGNACYA.,remove,Mickiewicz,176
27081,"Nieszczęśliwy kto próżno o wzajemność woła,",Sonety XI.,Mickiewicz,177
27081,"Nieszczęśliwszy jest kogo próżne serce nudzi,",Sonety XI.,Mickiewicz,178
27081,"Lecz ten u mnie ze wszystkich nieszczęśliwszy ludzi,",Sonety XI.,Mickiewicz,179
27081,"Kto nie kocha, że kochał, zapomniéć nie zdoła.",Sonety XI.,Mickiewicz,180
27081,"Widząc jaskrawe oczy i bezwstydne czoła,",Sonety XI.,Mickiewicz,181
27081,"Pamiątkami zatruwa rozkosz, co go łudzi;",Sonety XI.,Mickiewicz,182
27081,"A jeśli wdzięk i cnota czucie w nim obudzi,",Sonety XI.,Mickiewicz,183
27081,Nie śmie z przekwitłém sercem iść do stóp anioła.,Sonety XI.,Mickiewicz,184
27081,"Albo drugimi gardzi, albo siebie wini,",Sonety XI.,Mickiewicz,185
27081,"Minie ziemiankę, z drogi ustąpi bogini,",Sonety XI.,Mickiewicz,186
27081,A na obiedwie patrząc żegna się z nadzieją.,Sonety XI.,Mickiewicz,187
27081,"I serce ma podobne do dawnéj świątyni,",Sonety XI.,Mickiewicz,188
27081,"Spustoszałéj niepogód i czasów koleją,",Sonety XI.,Mickiewicz,189
27081,"Gdzie bóstwo nie chce mieszkać, a ludzie nie śmieją.",Sonety XI.,Mickiewicz,190
27081,XII.,remove,Mickiewicz,191
27081,DO ***,remove,Mickiewicz,192
27081,"Patrzysz mi w oczy, wzdychasz, zgubna twa prostota,",Sonety XII.,Mickiewicz,193
27081,"Lękaj się jadu, który w oczach źmii płonie,",Sonety XII.,Mickiewicz,194
27081,"Uciekaj nim cię oddech zatruty owionie,",Sonety XII.,Mickiewicz,195
27081,Jeśli nie chcesz kląć reszty twojego żywota.,Sonety XII.,Mickiewicz,196
27081,"Szczerość, jeszcze mi jedna pozostałą cnota;",Sonety XII.,Mickiewicz,197
27081,"Wiedz że niegodny ogień zapalasz w mém łonie,",Sonety XII.,Mickiewicz,198
27081,"Lecz umiém żyć samotny, i po cóż przy zgonie",Sonety XII.,Mickiewicz,199
27081,Ma się wikłać w me losy niewinna istota?,Sonety XII.,Mickiewicz,200
27081,"Lubię rozkosz, lecz zwodzić nadto jestem dumny",Sonety XII.,Mickiewicz,201
27081,"Tyś dziecko, mnie namiętne przepaliły bole,",Sonety XII.,Mickiewicz,202
27081,"Tyś szczęśliwa, twe miejsce w biesiadników kole,",Sonety XII.,Mickiewicz,203
27081,"Moje, gdzie są przeszłości smętarze i trumny.",Sonety XII.,Mickiewicz,204
27081,"Młody bluszczu, zielone obwijaj topole,",Sonety XII.,Mickiewicz,205
27081,Zostaw cierniom grobowe otaczać kolumny,Sonety XII.,Mickiewicz,206
27081,XIII.,remove,Mickiewicz,207
27081,"Piérwszy raz jam niewolnik z mojéj rad niewoli,",Sonety XIII.,Mickiewicz,208
27081,"Patrzę na ciebie, s czoła nie znika pogoda,",Sonety XIII.,Mickiewicz,209
27081,"Myślę o tobie, z myśli nie znika swobodą,",Sonety XIII.,Mickiewicz,210
27081,"Kocham ciebie, a przecież serce mi nie boli.",Sonety XIII.,Mickiewicz,211
27081,"Nieraz brałem za szczęście chwileczkę swawoli,",Sonety XIII.,Mickiewicz,212
27081,"Nieraz mię obłąkała wyobraźnią młoda,",Sonety XIII.,Mickiewicz,213
27081,"Albo słówka zdradliwe i wdzięczna uroda,",Sonety XIII.,Mickiewicz,214
27081,Lecz wtenczas i rozkosznéj złorzeczyłem doli.,Sonety XIII.,Mickiewicz,215
27081,"Nawet owę, gdy owę kochałem niebiankę,",Sonety XIII.,Mickiewicz,216
27081,"Ileż łez, jaki zapał, jaka niegdyś trwoga,",Sonety XIII.,Mickiewicz,217
27081,I żal teraz na samę imienia jéj wzmiankę.,Sonety XIII.,Mickiewicz,218
27081,"S tobą tylko szczęśliwy, s tobą, moja droga;",Sonety XIII.,Mickiewicz,219
27081,"Bogu chwała, że taką zdarzył mi kochankę,",Sonety XIII.,Mickiewicz,220
27081,"I kochance, że uczy chwalić Pana Boga.",Sonety XIII.,Mickiewicz,221
27081,XIV.,remove,Mickiewicz,222
27081,"Luba! ja wzdycham, pamięć niebieskiéj pieszczoty",Sonety XIV.,Mickiewicz,223
27081,Trują mi okropnego rozmyślania chwile.,Sonety XIV.,Mickiewicz,224
27081,"Ach! może serce twoje, co cierpiało tyle,",Sonety XIV.,Mickiewicz,225
27081,"Może, boję się wyrzec, pustoszą zgryzoty.",Sonety XIV.,Mickiewicz,226
27081,"Luba, i cożeś winna że twych ocząt groty",Sonety XIV.,Mickiewicz,227
27081,"Tak palące, że usta śmieją się tak mile;",Sonety XIV.,Mickiewicz,228
27081,"Zbyt ufałaś méj cnocie, zbyt swéj własnej sile,",Sonety XIV.,Mickiewicz,229
27081,I nazbyt ognia Stwórca wlał w nasze istoty.,Sonety XIV.,Mickiewicz,230
27081,"Przewalczyliśmy wiele i dni i tygodni,",Sonety XIV.,Mickiewicz,231
27081,"Młodzi, zawsze samotni, zawsze z sobą w parze,",Sonety XIV.,Mickiewicz,232
27081,I byliśmy oboje długo siebie godni.,Sonety XIV.,Mickiewicz,233
27081,"Teraz ach! pójdę łzami oblewać ołtarze,",Sonety XIV.,Mickiewicz,234
27081,"Nie będę mojéj żebrać przebaczenia zbrodni,",Sonety XIV.,Mickiewicz,235
27081,Tylko niech mię Bóg twoją zgryzotą nie karze.,Sonety XIV.,Mickiewicz,236
27081,XV.,remove,Mickiewicz,237
27081,DZIEŃDOBRY.,remove,Mickiewicz,238
27081,"Dzieńdobry! nie śmiem budzić, o wdzięczny widoku!",Sonety XV.,Mickiewicz,239
27081,"Jéj duch na poły w rajskie wzleciał okolice,",Sonety XV.,Mickiewicz,240
27081,"Na poły został boskie ożywiając lice,",Sonety XV.,Mickiewicz,241
27081,"Jak słońce na pół w niebie, pół w srébrnym obłoku.",Sonety XV.,Mickiewicz,242
27081,"Dzieńdobry! już westchnęła, błysnął promyk w oku,",Sonety XV.,Mickiewicz,243
27081,"Dzieńdobry, już obraża światłość twe źrenice,",Sonety XV.,Mickiewicz,244
27081,"Naprzykrzają się ustom muchy swawolnice,",Sonety XV.,Mickiewicz,245
27081,"Dzieńdobry, słońce w oknach, ja przy twoim boku.",Sonety XV.,Mickiewicz,246
27081,"Niosłem słodszy dzień dobry, lecz twe senne wdzięki",Sonety XV.,Mickiewicz,247
27081,Odebrały mi śmiałość; niech się wprzódy dowiém,Sonety XV.,Mickiewicz,248
27081,Z łaskawém wstajesz sercem? z orzeźwionym zdrowiem?,Sonety XV.,Mickiewicz,249
27081,"Dzieńdobry, nie pozwalasz ucałować ręki?",Sonety XV.,Mickiewicz,250
27081,"Każesz odejść, odchodzę, oto masz sukienki,",Sonety XV.,Mickiewicz,251
27081,Ubierz się i wyjdź prędko -- dzieńdobry ci powiem.,Sonety XV.,Mickiewicz,252
27081,XVI.,remove,Mickiewicz,253
27081,DOBRANOC.,remove,Mickiewicz,254
27081,"Dobranoc! już dziś więcéj nie będziem bawili,",Sonety XVI.,Mickiewicz,255
27081,"Niech snu anioł modremi skrzydły cię otoczy,",Sonety XVI.,Mickiewicz,256
27081,"Dobranoc, niech odpoczną po łzach twoje oczy,",Sonety XVI.,Mickiewicz,257
27081,"Dobranoc, niech się serce pokojem zasili.",Sonety XVI.,Mickiewicz,258
27081,"Dobranoc! s każdéj ze mną przemówionéj chwili,",Sonety XVI.,Mickiewicz,259
27081,"Niech zostanie dźwięk jakiś cichy i uroczy,",Sonety XVI.,Mickiewicz,260
27081,"Niechaj gra w twoim uchu, a gdy myśl zamroczy,",Sonety XVI.,Mickiewicz,261
27081,Niech się mój obraz sennym źrenicom przymili.,Sonety XVI.,Mickiewicz,262
27081,"Dobranoc! obróć jeszcze raz na mnie oczęta,",Sonety XVI.,Mickiewicz,263
27081,Pozwól lica -- Dobranoc -- chcesz na sługi klasnąć?,Sonety XVI.,Mickiewicz,264
27081,"Daj mi pierś ucałować -- Dobranoc, zapięta.",Sonety XVI.,Mickiewicz,265
27081," -- Dobranoc, już uciekłaś, i drzwi chcesz zatrzasnąć.",Sonety XVI.,Mickiewicz,266
27081,"Dobranoc ci przez klamkę, niestety! zamknięta!",Sonety XVI.,Mickiewicz,267
27081,Powtarzając dobranoc nie dałbym ci zasnąć.,Sonety XVI.,Mickiewicz,268
27081,XVII.,remove,Mickiewicz,269
27081,DOBRYWIECZÓR.,remove,Mickiewicz,270
27081,Dobrywieczór! on dla mnie najsłodszém życzeniem;,Sonety XVII.,Mickiewicz,271
27081,"Nigdy, czyto przed nocą dzieli nas zapora,",Sonety XVII.,Mickiewicz,272
27081,"Czyli mię ranna znowu przywołuje pora,",Sonety XVII.,Mickiewicz,273
27081,"Nie żegnam się, ni witam s takim zachwyceniem,",Sonety XVII.,Mickiewicz,274
27081,"Jak w tę chwilę, wieczornym ośmielony cieniem;",Sonety XVII.,Mickiewicz,275
27081,"Ty nawet, milczéć rada i płonić się skora,",Sonety XVII.,Mickiewicz,276
27081,"Gdy usłyszysz życzenie dobrego wieczora,",Sonety XVII.,Mickiewicz,277
27081,"Żywszém okiem, głośniejszém rozmawiasz westchnieniem.",Sonety XVII.,Mickiewicz,278
27081,"Niechaj dzieńdobry wschodzi tym co społem żyją,",Sonety XVII.,Mickiewicz,279
27081,"Objaśniać pracę, która ich ręce jednoczy;",Sonety XVII.,Mickiewicz,280
27081,"Dobranoc niech szczęśliwych kochanków otoczy,",Sonety XVII.,Mickiewicz,281
27081,Gdy z rozkoszy kielicha trosk osłodę piją;,Sonety XVII.,Mickiewicz,282
27081,"A tym co się kochają i swą miłość kryją,",Sonety XVII.,Mickiewicz,283
27081,Dobrywieczór niech przyćmi zbyt wymowne oczy.,Sonety XVII.,Mickiewicz,284
27081,XVIII.,remove,Mickiewicz,285
27081,DO D. D.,remove,Mickiewicz,286
27081,_WIZYTA._,remove,Mickiewicz,287
27081,"Ledwie wnijdę, słów kilka przemówię z nią samą;",Sonety XVIII.,Mickiewicz,288
27081,"Jużci dzwonek przerażą, wpada galonowy,",Sonety XVIII.,Mickiewicz,289
27081,"Za nim wizyta, za nią ukłony, rozmowy,",Sonety XVIII.,Mickiewicz,290
27081,"Ledwie wizyta z bramy, już druga za bramą.",Sonety XVIII.,Mickiewicz,291
27081,"Gdybym mógł, progi wilczą otoczyłbym jamą,",Sonety XVIII.,Mickiewicz,292
27081,"Stawiłbym lisie pastki, kolczate okowy,",Sonety XVIII.,Mickiewicz,293
27081,"A jeśli niedość bronią, uciecbym gotowy",Sonety XVIII.,Mickiewicz,294
27081,Na tamten świat stygową zasłonić się tamą.,Sonety XVIII.,Mickiewicz,295
27081,"O przeklęty nudziarzu! ja liczę minuty,",Sonety XVIII.,Mickiewicz,296
27081,"Jak zbrodniarz co go czeka ostatnia katusza,",Sonety XVIII.,Mickiewicz,297
27081,Ty pleciesz błahe dzieje wczorajszéj reduty.,Sonety XVIII.,Mickiewicz,298
27081,"Już bierzesz rękawiczki, szukasz kapelusza,",Sonety XVIII.,Mickiewicz,299
27081,"Teraz odetchnę nieco, wstąpi we mnie dusza,",Sonety XVIII.,Mickiewicz,300
27081,"O bogi! znowu siada, siedzi jak przykuty!",Sonety XVIII.,Mickiewicz,301
27081,XIX.,remove,Mickiewicz,302
27081,DO WIZYTUJĄCYCH.,remove,Mickiewicz,303
27081,"Pragniesz miłym być gościem, czytaj rady moje,",Sonety XIX.,Mickiewicz,304
27081,"Niedość wszedłszy donosić o czém wszyscy wiedzą,",Sonety XIX.,Mickiewicz,305
27081,"Że dzisiaj tam walcują, ówdzie obiad jedzą,",Sonety XIX.,Mickiewicz,306
27081,"Zboże tanie, deszcz pada, w Grecyi rozboje.",Sonety XIX.,Mickiewicz,307
27081,"Jeśli w salonie znajdziesz bawiących się dwoje,",Sonety XIX.,Mickiewicz,308
27081,"Zważaj czy cię z ukłonem, z rozmową uprzedzą,",Sonety XIX.,Mickiewicz,309
27081,"Czyli daleko jedno od drugiego siedzą,",Sonety XIX.,Mickiewicz,310
27081,"Czy wszystko jest na miejscu, czy w porządku stroje.",Sonety XIX.,Mickiewicz,311
27081,"Jeśli pani co wyraz zaśmiać się gotowa,",Sonety XIX.,Mickiewicz,312
27081,Choć usta śmiać się nie chcą; jeśli panicz z boku,Sonety XIX.,Mickiewicz,313
27081,"Pogląda i zegarek dobywa i chowa,",Sonety XIX.,Mickiewicz,314
27081,I grzeczność ma na ustach a cóś złego w oku:,Sonety XIX.,Mickiewicz,315
27081,"Wiesz jak ich trzeba witać? Bywaj zdrów, bądź zdrowa;",Sonety XIX.,Mickiewicz,316
27081,A kiedy ich masz znowu odwiedzić? -- po roku.,Sonety XIX.,Mickiewicz,317
27081,XX.,remove,Mickiewicz,318
27081,POŻEGNANIE.,remove,Mickiewicz,319
