gutenberg_id,text,title,author
27062,"hańba im, jeśli to ścierpią.",Romeo I Julia,ShakespearePaszkowski
27062,"*Abraham.* Skrzywiłeś się na nas, mości panie?",Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Nieinaczej, skrzywiłem się.",Romeo I Julia,ShakespearePaszkowski
27062,"*Abraham.* Czy na nas się skrzywiłeś, mości panie?",Romeo I Julia,ShakespearePaszkowski
27062,"*Samson* _(do Grzegorza)._ Będziemyż mieli prawo za sobą,",Romeo I Julia,ShakespearePaszkowski
27062,jak powiem: tak jest?,Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz.* Nie.,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson* _(do Abrahama)._ Nie, mości panie; nie skrzywiłem",Romeo I Julia,ShakespearePaszkowski
27062,"się na was, tyłko skrzywiłem się tak sobie.",Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz* _(do Abrahama)._ Zaczepki waść szukasz?,Romeo I Julia,ShakespearePaszkowski
27062,*Abraham.* Zaczepki? nie.,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Jeżeli jej szukasz, to jestem na waścine usługi.",Romeo I Julia,ShakespearePaszkowski
27062,"Mój pan tak dobry, jak i wasz.",Romeo I Julia,ShakespearePaszkowski
27062,*Abraham.* Nie lepszy.,Romeo I Julia,ShakespearePaszkowski
27062,*Samson.* Niech i tak będzie.,Romeo I Julia,ShakespearePaszkowski
27062,    _(Benwolio ukazuje się w głębi)._,Romeo I Julia,ShakespearePaszkowski
27062,*Grzegorz* _na stronie do Samsona)._ Powiedz: lepszy. Oto,Romeo I Julia,ShakespearePaszkowski
27062,nadchodzi jeden z krewnych mego pana.,Romeo I Julia,ShakespearePaszkowski
27062,*Samson.* Nieinaczej; powiedz: lepszy.,Romeo I Julia,ShakespearePaszkowski
27062,*Abraham.* Kłamiesz.,Romeo I Julia,ShakespearePaszkowski
27062,"*Samson.* Dobądźcie mieczów, jeśli macie serca. Grzegorzu,",Romeo I Julia,ShakespearePaszkowski
27062,pamiętaj o swoim pchnięciu. _(Biją się)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Benwolio.* Odstąpcie, głupcy; schowajcie miecze do pochew!",Romeo I Julia,ShakespearePaszkowski
27062,"Sami nie wiecie, co robicie.",Romeo I Julia,ShakespearePaszkowski
27062,    _(Rozdziela ich swoim mieczem)._,Romeo I Julia,ShakespearePaszkowski
27062,    _(Wchodzi Tybalt)._,Romeo I Julia,ShakespearePaszkowski
27062,*Tybalt.* Cóż to? krzyżujesz oręż z parobkami?,Romeo I Julia,ShakespearePaszkowski
27062,"Do mnie, Benwolio! pilnuj swego życia.",Romeo I Julia,ShakespearePaszkowski
27062,*Benwolio.* Przywracam tylko pokój. Włóż miecz nazad,Romeo I Julia,ShakespearePaszkowski
27062,Albo wraz ze mną rozdziel nim tych ludzi.,Romeo I Julia,ShakespearePaszkowski
27062,*Tybalt.* Z gołym orężem pokój? Nienawidzę,Romeo I Julia,ShakespearePaszkowski
27062,"Tego wyrazu, tak jak nienawidzę",Romeo I Julia,ShakespearePaszkowski
27062,"Szatana, wszystkich Montekich i ciebie.",Romeo I Julia,ShakespearePaszkowski
27062,"Broń się, nikczemny tchórzu.",Romeo I Julia,ShakespearePaszkowski
27062,    _(Walczą)._,Romeo I Julia,ShakespearePaszkowski
27062,_Nadchodzi kilku przyjaciół obu partyi i mieszają się do,Romeo I Julia,ShakespearePaszkowski
27062,zwady; wkrótce potem wchodzą mieszczanie z pałkami)._,Romeo I Julia,ShakespearePaszkowski
27062,*Pierwszy obywatel.* Hola! berdyszów! pałek! Dalej po nich!,Romeo I Julia,ShakespearePaszkowski
27062,"Precz z Montekimi, precz z Kapuletami!",Romeo I Julia,ShakespearePaszkowski
27062,_(Wchodzą: Kapulet i pani Kapulet)._,Romeo I Julia,ShakespearePaszkowski
27062,*Kapulet.* Co to za hałas? Podajcie mi długi,Romeo I Julia,ShakespearePaszkowski
27062,Mój miecz! hej!,Romeo I Julia,ShakespearePaszkowski
27062,*Pani Kapulet.* Raczej kulę: co ci z miecza?,Romeo I Julia,ShakespearePaszkowski
27062,"*Kapulet.* Miecz, mówię! Stary Monteki nadchodzi",Romeo I Julia,ShakespearePaszkowski
27062,I szydnie swoją klingą mi urąga.,Romeo I Julia,ShakespearePaszkowski
27062,    _(Wchodzą: Monteki i pani Monteki)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Monteki.* Ha! nędzny Kapulecie! _(Do żony)._ Puść mię, pani.",Romeo I Julia,ShakespearePaszkowski
27062,"*Pani Monteki.* Nie puszczę cię na krok, gdy wróg przed tobą.",Romeo I Julia,ShakespearePaszkowski
27062,_(Wchodzi Książę z orszakiem)._,Romeo I Julia,ShakespearePaszkowski
27062,"*Książę.* Zapamiętali, niesforni poddani,",Romeo I Julia,ShakespearePaszkowski
27062,"Bezcześciciele bratniej stali! Cóż to,",Romeo I Julia,ShakespearePaszkowski
27062,"Czy nie słyszycie? Ludzie czy zwierzęta,",Romeo I Julia,ShakespearePaszkowski
27062,Co wściekłych swoich gniewów żar gasicie,Romeo I Julia,ShakespearePaszkowski
27062,W własnych żył swoich źródle purpurowym:,Romeo I Julia,ShakespearePaszkowski
27062,"Pod karą tortur, wypuśćcie natychmiast",Romeo I Julia,ShakespearePaszkowski
27062,Z zawziętych dłoni tę broń buntowniczą,Romeo I Julia,ShakespearePaszkowski
27062,"I posłuchajcie tego, co niniejszym",Romeo I Julia,ShakespearePaszkowski
27062,Wasz rozjątrzony książę postanawia.,Romeo I Julia,ShakespearePaszkowski
27062,"Domowe starcia, z marnych słów zrodzone",Romeo I Julia,ShakespearePaszkowski
27062,"Przez was, Monteki oraz Kapulecie,",Romeo I Julia,ShakespearePaszkowski
27062,"Trzykroć już spokój miasta zakłóciły,",Romeo I Julia,ShakespearePaszkowski
27062,"Tak, że poważni wiekiem i zasługą",Romeo I Julia,ShakespearePaszkowski
27062,Obywatele werońscy musieli,Romeo I Julia,ShakespearePaszkowski
27062,"Porzucić swoje wygodne przybory,",Romeo I Julia,ShakespearePaszkowski
27062,"I w stare dłonie stare ująć miecze,",Romeo I Julia,ShakespearePaszkowski
27062,By zardzewiałym ostrzem zardzewiałe,Romeo I Julia,ShakespearePaszkowski
27062,Niechęci wasze przecinać. Jeżeli,Romeo I Julia,ShakespearePaszkowski
27062,"Wzniecicie jeszcze kiedyś waśń podobną,",Romeo I Julia,ShakespearePaszkowski
27062,Zamęt pokoju opłacicie życiem.,Romeo I Julia,ShakespearePaszkowski
27062,A teraz wszyscy ustąpcie niezwłocznie.,Romeo I Julia,ShakespearePaszkowski
27062,"Ty, Kapulecie, pójdziesz ze mną razem;",Romeo I Julia,ShakespearePaszkowski
27062,"Ty zaś, Monteki, przyjdziesz po południu",Romeo I Julia,ShakespearePaszkowski
27062,"Na ratusz, gdzie ci dokładnie w tym względzie",Romeo I Julia,ShakespearePaszkowski
27062,Dalsza ma wola oznajmiona będzie.,Romeo I Julia,ShakespearePaszkowski
27062,"Jeszcze raz, wzywam wszystkich tu obecnych",Romeo I Julia,ShakespearePaszkowski
27062,"Pod karą śmierci, aby się rozeszli.",Romeo I Julia,ShakespearePaszkowski
