gutenberg_id,text,title
27081,"Jak zbrodniarz co go czeka ostatnia katusza,",Sonety XVIII.
27081,Ty pleciesz błahe dzieje wczorajszéj reduty.,Sonety XVIII.
27081,"Już bierzesz rękawiczki, szukasz kapelusza,",Sonety XVIII.
27081,"Teraz odetchnę nieco, wstąpi we mnie dusza,",Sonety XVIII.
27081,"O bogi! znowu siada, siedzi jak przykuty!",Sonety XVIII.
27081,XIX.,remove
27081,DO WIZYTUJĄCYCH.,remove
27081,"Pragniesz miłym być gościem, czytaj rady moje,",Sonety XIX.
27081,"Niedość wszedłszy donosić o czém wszyscy wiedzą,",Sonety XIX.
27081,"Że dzisiaj tam walcują, ówdzie obiad jedzą,",Sonety XIX.
27081,"Zboże tanie, deszcz pada, w Grecyi rozboje.",Sonety XIX.
27081,"Jeśli w salonie znajdziesz bawiących się dwoje,",Sonety XIX.
27081,"Zważaj czy cię z ukłonem, z rozmową uprzedzą,",Sonety XIX.
27081,"Czyli daleko jedno od drugiego siedzą,",Sonety XIX.
27081,"Czy wszystko jest na miejscu, czy w porządku stroje.",Sonety XIX.
27081,"Jeśli pani co wyraz zaśmiać się gotowa,",Sonety XIX.
27081,Choć usta śmiać się nie chcą; jeśli panicz z boku,Sonety XIX.
27081,"Pogląda i zegarek dobywa i chowa,",Sonety XIX.
27081,I grzeczność ma na ustach a cóś złego w oku:,Sonety XIX.
27081,"Wiesz jak ich trzeba witać? Bywaj zdrów, bądź zdrowa;",Sonety XIX.
27081,A kiedy ich masz znowu odwiedzić?--po roku.,Sonety XIX.
27081,XX.,remove
27081,POŻEGNANIE.,remove
27081,_DO D. D._,remove
27081,Odpychasz mię?--czém twoje serce już postradał?,Sonety XX.
27081,Lecz jam go nigdy nie miał;--czyli broni cnota?,Sonety XX.
27081,Lecz ty pieścisz innego; czy że nie dam złota?,Sonety XX.
27081,Lecz jam go wprzódy nie dał a ciebie posiadał.,Sonety XX.
27081,"I nie darmo; choć skarbów przed tobąm nie składał,",Sonety XX.
27081,"Ale mi drogo każda kupiona pieszczota,",Sonety XX.
27081,"Na wagę duszy mojéj, pokojem żywota;",Sonety XX.
27081,Dla czegoż mię odpychasz? nadaremniem badał.,Sonety XX.
27081,"Dziś odkrywam łakomstwo nowe w sercu twojém,",Sonety XX.
27081,Pochwalnych wiérszy chciałaś; marny pochwał dymie!,Sonety XX.
27081,Dla nich więc igrasz z bliźnich szczęściem i pokojem?,Sonety XX.
27081,"Nie kupić Muzy! W każdym ślizgałem się rymie,",Sonety XX.
27081,"Gdym szedł na Parnas z lauru wieńczyć cię zawojem,",Sonety XX.
